filename,abs_angle,augmented,actual_words,detected_words,error
page10_angle_0.jpg,0,No,121,115,6
page11_angle_0.jpg,0,No,124,120,4
page11_angle_0_aug3.jpg,0,Yes,124,119,5
page1_angle_0.jpg,0,No,124,132,8
page1_angle_0_aug2.jpg,0,Yes,124,149,25
page1_angle_0_aug3.jpg,0,Yes,124,131,7
page2_angle_0.jpg,0,No,124,119,5
page2_angle_0_aug3.jpg,0,Yes,124,133,9
page3_angle_0.jpg,0,No,126,131,5
page3_angle_0_aug2.jpg,0,Yes,126,129,3
page3_angle_0_aug3.jpg,0,Yes,126,145,19
page4_angle_0.jpg,0,No,125,129,4
page5_angle_0.jpg,0,No,122,117,5
page5_angle_0_aug1.jpg,0,Yes,122,131,9
page6_angle_0.jpg,0,No,126,128,2
page6_angle_0_aug1.jpg,0,Yes,126,127,1
page6_angle_0_aug2.jpg,0,Yes,126,134,8
page6_angle_0_aug3.jpg,0,Yes,126,128,2
page7_angle_0.jpg,0,No,122,108,14
page7_angle_0_aug1.jpg,0,Yes,122,107,15
page7_angle_0_aug3.jpg,0,Yes,122,113,9
page8_angle_0.jpg,0,No,121,116,5
page8_angle_0_aug1.jpg,0,Yes,121,127,6
page8_angle_0_aug2.jpg,0,Yes,121,114,7
page8_angle_0_aug3.jpg,0,Yes,121,117,4
page9_angle_0.jpg,0,No,121,111,10
page9_angle_0_aug1.jpg,0,Yes,121,112,9
page10_angle_-5.jpg,5,No,121,112,9
page10_angle_-5_aug1.jpg,5,Yes,121,114,7
page10_angle_5.jpg,5,No,121,114,7
page11_angle_-5.jpg,5,No,124,119,5
page11_angle_-5_aug1.jpg,5,Yes,124,121,3
page11_angle_-5_aug2.jpg,5,Yes,124,122,2
page11_angle_5.jpg,5,No,124,120,4
page11_angle_5_aug3.jpg,5,Yes,124,122,2
page1_angle_-5.jpg,5,No,124,128,4
page1_angle_-5_aug2.jpg,5,Yes,124,140,16
page1_angle_5.jpg,5,No,124,129,5
page1_angle_5_aug3.jpg,5,Yes,124,129,5
page2_angle_-5.jpg,5,No,124,116,8
page2_angle_-5_aug2.jpg,5,Yes,124,121,3
page2_angle_5.jpg,5,No,124,118,6
page2_angle_5_aug2.jpg,5,Yes,124,119,5
page2_angle_5_aug3.jpg,5,Yes,124,120,4
page3_angle_-5.jpg,5,No,126,126,0
page3_angle_-5_aug2.jpg,5,Yes,126,132,6
page3_angle_5.jpg,5,No,126,130,4
