Image,Actual Words,Our Algorithm,Our Algorithm Error,Our Algorithm Error²,EasyOCR,EasyOCR Error,EasyOCR Error²,PaddleOCR,PaddleOCR Error,PaddleOCR Error²,Tesseract,Tesseract Error,Tesseract Error²
90.jpeg,121,117,-4,16,50,-71,5041,24,-97,9409,98,-23,529
91.jpeg,121,118,-3,9,54,-67,4489,57,-64,4096,84,-37,1369
92.jpeg,122,125,3,9,91,-31,961,19,-103,10609,69,-53,2809
93.jpeg,122,124,2,4,89,-33,1089,17,-105,11025,104,-18,324
94.jpeg,122,119,-3,9,68,-54,2916,19,-103,10609,102,-20,400
95.jpeg,122,117,-5,25,54,-68,4624,77,-45,2025,103,-19,361
96.jpeg,122,117,-5,25,62,-60,3600,29,-93,8649,106,-16,256
100.jpeg,122,123,1,1,77,-45,2025,33,-89,7921,94,-28,784
101.jpeg,122,124,2,4,71,-51,2601,69,-53,2809,85,-37,1369
102.jpeg,124,131,7,49,116,-8,64,11,-113,12769,82,-42,1764
103.jpeg,124,125,1,1,102,-22,484,16,-108,11664,90,-34,1156
104.jpeg,124,120,-4,16,62,-62,3844,46,-78,6084,95,-29,841
105.jpeg,124,118,-6,36,58,-66,4356,26,-98,9604,103,-21,441
106.jpeg,124,111,-13,169,63,-61,3721,42,-82,6724,93,-31,961
107.jpeg,124,115,-9,81,75,-49,2401,31,-93,8649,95,-29,841
108.jpeg,124,121,-3,9,74,-50,2500,44,-80,6400,64,-60,3600
109.jpeg,124,116,-8,64,74,-50,2500,41,-83,6889,86,-38,1444
110.jpeg,124,119,-5,25,84,-40,1600,25,-99,9801,83,-41,1681
111.jpeg,124,114,-10,100,82,-42,1764,71,-53,2809,77,-47,2209
,,,,,,,,,,,,,
Overall Accuracy,,93.39%,,,57.46%,,,28.67%,,,79.40%,,
MSE (Mean Squared Error),,103.19,,,3044.55,,,8209.06,,,971.61,,
MAE (Mean Absolute Error),,8.14,,,52.38,,,87.82,,,25.37,,
Median Absolute Error,,7,,,55.5,,,95.5,,,23.0,,
